TOPIK;SOAL;OPSI_A;OPSI_B;OPSI_C;OPSI_D;JAWABAN
BILANGAN;Hasil 123 + 456 =;579;589;679;689;A
BILANGAN;Nilai 789 - 321 =;458;468;558;568;B
BILANGAN;Hasil 25 x 8 =;100;150;200;250;C
BILANGAN;Nilai 36 : 6 =;5;6;7;8;B
BILANGAN;Ganjil antara 10 dan 20 =;10 12 14 16 18;11 13 15 17 19;12 14 16 18 20;11 12 13 14 15;B
BILANGAN;Genap antara 21 dan 31 =;22 24 26 28 30;21 23 25 27 29 31;23 25 27 29;22 24 28 30 32;A
BILANGAN;Lambang seratus tujuh =;1007;170;107;701;C
BILANGAN;Nilai tempat 5 di 456 =;satuan;puluhan;ratusan;ribuan;B
BILANGAN;Pembulatan 67 ke puluhan =;60;65;70;80;C
BILANGAN;Taksiran 32 + 49 =;70;80;90;100;B
PECAHAN;Senilai 1/2 =;(1/4);(2/3);(2/4);(3/4);C
PECAHAN;Sederhana 6/8 =;(1/2);(2/3);(3/4);(4/6);C
PECAHAN;Hasil 1/3 + 1/3 =;(1/6);(2/6);(2/3);(3/3);C
PECAHAN;Hasil 3/4 - 1/4 =;(1/2);(2/8);(3/4);(4/4);A
PECAHAN;Hasil 1/2 x 2/3 =;(1/3);(2/6);(3/2);(2/5);A
PECAHAN;Hasil 4/5 : 2/5 =;1;2;(8/25);(2/1);B
PECAHAN;Urutkan terkecil =;(1/2) (1/3) (1/4);(1/4) (1/3) (1/2);(1/2) (1/4) (1/3);(1/3) (1/2) (1/4);B
PECAHAN;Desimal 1/4 =;0.1;0.2;0.25;0.4;C
PECAHAN;Biasa 1 2/3 =;(2/3);(3/5);(5/3);(4/3);C
PECAHAN;Campuran 7/5 =;-1 1/5;-1 2/5;-2 1/5;-5 1/7;B
GEOMETRI;3 sisi 3 sudut =;persegi;lingkaran;segitiga;persegi panjang;C
GEOMETRI;4 sisi sama, 4 sudut siku =;persegi;persegi panjang;trapesium;layang-layang;A
GEOMETRI;Jumlah sudut segitiga =;90;180;270;360;B
GEOMETRI;Sudut < 90 derajat =;siku-siku;lancip;tumpul;lurus;B
GEOMETRI;Garis tanpa ujung =;ruas;sinar;garis;bidang;C
GEOMETRI;2 garis tak potong =;berpotongan;sejajar;tegak lurus;berimpit;B
GEOMETRI;6 sisi persegi =;kubus;balok;kerucut;tabung;A
GEOMETRI;Alas lingkaran, 1 puncak =;kubus;bola;kerucut;prisma;C
GEOMETRI;Sisi tegak prisma segitiga =;segitiga;persegi;persegi panjang;lingkaran;C
GEOMETRI;Luas persegi =;s x s;p x l;1/2 x a x t;pi r^2;A
PENGUKURAN;Ukur panjang =;timbangan;jam;penggaris;gelas ukur;C
PENGUKURAN;Satuan berat baku =;meter;liter;kilogram;detik;C
PENGUKURAN;1 m = ... cm;10;100;1000;0.1;B
PENGUKURAN;2 kg = ... gram;20;200;2000;0.002;C
PENGUKURAN;Ukur waktu =;termometer;barometer;jam;speedometer;C
PENGUKURAN;1 jam = ... menit;30;60;90;120;B
PENGUKURAN;Luas 10x5 cm =;15;25;50;100;C
PENGUKURAN;Keliling sisi 8 cm =;16;24;32;64;C
PENGUKURAN;Volume sisi 3 cm =;9;12;27;81;C
PENGUKURAN;Volume 5x3x2 cm =;10;15;30;60;C
DATA;Diagram batang =;garis;lingkaran;batang;gambar;C
DATA;Diagram gambar =;garis;lingkaran;batang;piktogram;D
DATA;Tinggi sering muncul =;138;140;142;145;B
DATA;Selisih terbesar-terkecil =;rata-rata;median;modus;jangkauan;D
DATA;Rata-rata =;dikali;dibagi;dikurangi;ditambah;B
DATA;Nilai tengah urut =;rata-rata;median;modus;jangkauan;B
DATA;Sering muncul =;rata-rata;median;modus;jangkauan;C
DATA;Modus 7 8 6 9 7 =;6;7;8;9;B
DATA;Median 30 32 35 31 32 =;30;31;32;35;C
DATA;Rata-rata 10 12 11 13 14 =;10;11;12;13;C
CAMPURAN;10 + 5 x 2 =;20;30;15;12;A
CAMPURAN;(15 - 3) : 4 =;2;3;4;5;B
CAMPURAN;20 : 5 + 3 =;4;7;11;19;B
CAMPURAN;6 x (8 - 2) =;12;36;48;60;B
CAMPURAN;18 - 6 : 3 =;4;12;16;20;C
CAMPURAN;2 x 7 + 9 =;16;23;25;32;B
CAMPURAN;30 : (10 - 4) =;3;5;6;10;B
CAMPURAN;4 + 3 x 5 - 2 =;17;21;25;33;A
CAMPURAN;(16 + 8) : 3 x 2 =;8;16;24;32;B
CAMPURAN;5 x 6 - 15 : 3 =;5;15;25;35;C
WAKTU;07.30 dibaca =;tujuh lima belas;tujuh tiga puluh;setengah delapan;tujuh empat lima;B
WAKTU;1 hari = ... jam;12;24;36;48;B
WAKTU;1 minggu = ... hari;5;6;7;8;C
WAKTU;1 bulan = ... hari;28;30;31;30 atau 31;D
WAKTU;1 tahun = ... bulan;6;10;12;15;C
WAKTU;09.00 + 3 jam =;10.00;11.00;12.00;13.00;C
WAKTU;Kemarin Senin, besok =;Selasa;Rabu;Kamis;Minggu;B
WAKTU;Setelah April =;Mei;Juni;Juli;Agustus;A
WAKTU;Urutan bulan =;Januari Maret Februari;Januari Februari April;Januari Februari Maret;Februari Januari Maret;C
WAKTU;1 triwulan = ... bulan;2;3;4;6;B
UANG;Nilai seribuan =;100;500;1000;10000;C
UANG;Dua 500-an =;seratusan;duaratusan;seribuan;limaratusan;C
UANG;Buku 5000 + pensil 1000 =;4000;5000;6000;7000;C
UANG;Permen 500, uang 2000 =;2;3;4;5;C
UANG;200 + 500 =;600;700;800;900;B
UANG;Uang 10000 - es 7000 =;2000;3000;4000;5000;B
UANG;Tas 50000 diskon 10% =;40000;45000;55000;60000;B
UANG;Andi 20000 - 15000 + 10000 =;5000;10000;15000;25000;C
UANG;Tiga 2000-an =;3;4;6;8;C
UANG;Selisih 5000 dan 100 =;4000;4900;5100;6000;B
BILANGAN;Antara 35 dan 40 =;30 31 32 33 34;36 37 38 39;41 42 43 44 45;35 dan 40;B
BILANGAN;5 pangkat 2 =;10;25;52;7;B
BILANGAN;Akar 81 =;7;8;9;10;C
