TOPIK ;SOAL ;OPSI_A;OPSI_B;OPSI_C;OPSI_D;JAWABAN
ALJABAR;Hasil dari (2x - 3)(x + 1) =;2x² - x - 3;2x² + x - 3;2x² - 5x - 3;2x² + 5x - 3;A
ALJABAR;Faktorisasi dari a² - 9 =;(a - 3)²;(a + 3)²;(a - 3)(a + 3);(a - 9)(a + 1);C
ALJABAR;Nilai dari (-2)⁴ =;-8;8;-16;16;D
ALJABAR;Bentuk sederhana dari (b⁸)¹/⁴ =;b²;b³;b⁴;b⁶;A
ALJABAR;Sederhanakan (4x³y²) / (2xy) =;2x²y;2x²;2y;2xy;A
ALJABAR;Nilai dari √75 - √3 =;2√3;4√3;6√3;8√3;B
ALJABAR;Bentuk rasional dari 2 / (√3 - 1) =;√3 - 1;√3 + 1;2(√3 - 1);2(√3 + 1);B
ALJABAR;Jika 5^(x+1) = 25, maka nilai x =;0;1;2;3;B
ALJABAR;Himpunan penyelesaian 2x² - 5x + 2 = 0 adalah?;{1/2, 2};{-1/2, -2};{1, 2};{-1, -2};A
TRIGONOMETRI;Nilai dari sin 45° + cos 45° =;1;√2;2√2;0;B
TRIGONOMETRI;Nilai dari tan 60° - tan 30° =;0;2/√3;√3/3;2√3/3;B
TRIGONOMETRI;Jika sin x = 3/5 dan x sudut lancip, maka cos x =;(4/5);(-4/5);(5/4);(-5/4);A
TRIGONOMETRI;Grafik fungsi y = 2 sin x memiliki amplitudo...;1;2;-2;π;B
TRIGONOMETRI;Nilai maksimum fungsi y = 3 cos x - 1 =;2;-4;3;-1;A
TRIGONOMETRI;Nilai dari cos 30° =;(1/2);√2/2;√3/2;1;C
TRIGONOMETRI;Nilai dari sin 60° =;(1/2);√2/2;√3/2;1;C
TRIGONOMETRI;Nilai dari tan 30° =;1/√3;1;√3;tak terdefinisi;A
TRIGONOMETRI;Identitas trigonometri 1 + tan²x =;sin²x;cos²x;sec²x;csc²x;C
TRIGONOMETRI;Periode fungsi sin 3x =;π/3;2π/3;π;2π;B
KALKULUS;Turunan dari y = (2x + 1)³ =;3(2x + 1)²;6(2x + 1)²;3(2)²;6(2);B
KALKULUS;Integral dari (3x² + 2x) dx =;x³ + x² + C;6x + 2 + C;3x³ + 2x² + C;x³ + 2x² + C;A
KALKULUS;lim x→∞ (x³ + 2x) / (2x³ - x) =;0;(1/2);2;∞;B
KALKULUS;Turunan dari y = e^(2x+1) =;e^(2x+1);2e^(2x+1);(2x+1)e^(2x);(2x+1)e^(2x+1);B
KALKULUS;Integral dari cos 2x dx =;2 sin 2x + C;(1/2) sin 2x + C;-2 sin 2x + C;-(1/2) sin 2x + C;B
KALKULUS;Turunan dari 4x⁵ =;4x⁴;9x⁴;20x⁴;24x⁴;C
