TOPIK;SOAL;OPSI_A;OPSI_B;OPSI_C;OPSI_D;JAWABAN
BILANGAN;Hasil dari (-8) + 12 - (-5) adalah...;-15;-9;9;19;C
BILANGAN;Nilai dari 3^4 adalah...;12;27;81;243;C
BILANGAN;Faktor prima dari 72 adalah...;2 dan 3;2 dan 9;3 dan 8;8 dan 9;A
BILANGAN;KPK dari 12 dan 18 adalah...;24;30;36;48;C
BILANGAN;FPB dari 24 dan 36 adalah...;6;8;12;18;C
ALJABAR;Sederhanakan 2x + 3y - 5x + y adalah...;-3x + 4y;3x - 4y;7x + 4y;-7x - 4y;A
ALJABAR;Nilai x dari persamaan 3x - 7 = 8 adalah...;3;5;7;9;B
ALJABAR;Himpunan penyelesaian dari pertidaksamaan 2x + 4 < 10 adalah...;x < 3;x > 3;x < 7;x > 7;A
ALJABAR;Jika a = -2 dan b = 3, maka nilai dari 2a^2 - b adalah...;-11;5;11;17;B
ALJABAR;Koefisien dari x pada bentuk aljabar 5x^2 - 3x + 8 adalah...;5;-3;8;2;B
GEOMETRI;Besar sudut yang dibentuk oleh jarum jam pada pukul 03.00 adalah...;30 derajat;60 derajat;90 derajat;120 derajat;C
GEOMETRI;Keliling persegi panjang dengan panjang 10 cm dan lebar 6 cm adalah...;16 cm;28 cm;32 cm;60 cm;C
GEOMETRI;Luas segitiga dengan alas 8 cm dan tinggi 5 cm adalah...;13 cm^2;20 cm^2;40 cm^2;80 cm^2;B
GEOMETRI;Volume kubus dengan panjang sisi 4 cm adalah...;16 cm^3;24 cm^3;64 cm^3;96 cm^3;C
GEOMETRI;Jenis sudut yang besarnya antara 90 dan 180 derajat adalah...;sudut lancip;sudut siku-siku;sudut tumpul;sudut lurus;C
PERBANDINGAN;Harga 3 kg apel adalah Rp 75.000. Harga 5 kg apel adalah...;Rp100.000;Rp125.000;Rp150.000;Rp175.000;B
PERBANDINGAN;Skala peta 1:200. Jika jarak dua kota pada peta 5 cm, jarak sebenarnya adalah...;10 m;20 m;100 m;200 m;A
STATISTIKA;Rata-rata dari data 6, 8, 7, 9, 10 adalah...;7;8;8.5;9;B
STATISTIKA;Median dari data 3, 5, 6, 8, 10, 12, 15 adalah...;6;8;9;10;B
STATISTIKA;Modus dari data 2, 3, 4, 4, 5, 6, 6, 6, 7 adalah...;4;5;6;7;C
BILANGAN;Hasil dari 15 + (-9) x 2 adalah...;-3;-18;6;12;A
BILANGAN;Nilai dari (2^3)^2 adalah...;16;32;64;128;C
BILANGAN;Bilangan prima antara 20 dan 30 adalah...;21;23;25;27;B
BILANGAN;KPK dari 8, 12, dan 24 adalah...;24;36;48;72;A
BILANGAN;FPB dari 15, 20, dan 35 adalah...;3;5;7;10;B
ALJABAR;Sederhanakan 4a - 2b + 5a - 3b adalah...;9a - 5b;9a + 5b;-a - 5b;-a + 5b;A
ALJABAR;Nilai y dari persamaan 2y + 5 = 11 adalah...;2;3;4;5;C
ALJABAR;Himpunan penyelesaian dari pertidaksamaan -3x + 6 > 12 adalah...;x < -2;x > -2;x < 6;x > 6;A
ALJABAR;Jika p = 4 dan q = -1, maka nilai dari p^2 + 3q adalah...;13;19;7;-7;A
ALJABAR;Konstanta pada bentuk aljabar -7m + 2n - 9 adalah...;-7;2;-9;0;C
GEOMETRI;Besar sudut pelurus dari sudut 75 derajat adalah...;15 derajat;95 derajat;105 derajat;115 derajat;C
GEOMETRI;Luas persegi dengan keliling 36 cm adalah...;81 cm^2;72 cm^2;64 cm^2;48 cm^2;A
GEOMETRI;Keliling lingkaran dengan jari-jari 7 cm adalah...;22 cm;44 cm;88 cm;154 cm;B
GEOMETRI;Luas permukaan kubus dengan sisi 5 cm adalah...;25 cm^2;100 cm^2;150 cm^2;125 cm^2;C
GEOMETRI;Dua garis dikatakan sejajar jika...;berpotongan di satu titik;tidak berpotongan;membentuk sudut siku-siku;berimpit;B
PERBANDINGAN;Sebuah mobil memerlukan 10 liter bensin untuk menempuh jarak 120 km. Jika mobil tersebut menempuh jarak 300 km, bensin yang diperlukan adalah...;20 liter;25 liter;30 liter;35 liter;B
PERBANDINGAN;Waktu yang dibutuhkan untuk mencetak 100 lembar adalah 15 menit. Waktu untuk mencetak 300 lembar adalah...;30 menit;40 menit;45 menit;50 menit;C
